Year,Month,MeanDepDelay,StdDepDelay
2001,8,10.00752307,31.62358667
2001,9,6.904687077,28.77487804
2001,10,5.62461723,22.94985207
2001,11,5.226290843,23.64506572
2001,12,6.914982516,23.96224869
2002,1,5.427212232,24.96451253
2002,2,3.970484196,21.75449817
2002,3,7.125029704,27.51139993
2002,4,5.130058483,25.55763979
2002,5,4.882929686,24.62233112
2002,6,8.29577663,31.246744
2002,7,7.633713829,29.3057767
2002,8,5.748435824,26.54180792
2002,9,2.241589454,21.23213239
2002,10,3.666277562,22.24021212
2002,11,3.503358462,22.2866758
2002,12,8.395403186,31.63320184
2003,1,4.236297465,23.90378012
2003,2,6.855551275,27.93558045
2003,3,4.551245207,24.72595227
2003,4,2.946050533,22.41818797
2003,5,3.831899507,23.41773316
2003,6,5.443029295,25.48449177
2003,7,7.57856711,30.66897031
2003,8,7.597835273,32.53511696
2003,9,2.7619163,21.85261929
2003,10,2.977092123,22.2782193
2003,11,5.758203332,26.3110111
2003,12,8.386531167,28.86078781
2004,1,8.395835982,30.50423269
2004,2,7.049601852,26.95371078
2004,3,5.844603231,26.35373492
2004,4,4.79282436,23.95422837
2004,5,8.552097672,32.69963985
2004,6,11.48183953,34.62415332
2004,7,10.36401262,34.25009898
2004,8,8.344086899,31.28000031
2004,9,4.088488881,24.82717426
2004,10,5.615549721,23.86386132
2004,11,7.719682022,29.47998181
2004,12,12.26127026,35.07117354
2005,1,10.84988944,34.68233014
2005,2,7.702224785,28.84740341
2005,3,9.150015394,32.37283483
2005,4,4.863568216,26.18122506
2005,5,5.274917272,25.56004527
2005,6,10.82578565,34.31872827
2005,7,14.29684096,39.3283012
2005,8,10.14962944,32.67853191
2005,9,4.868672042,24.91875745
2005,10,6.45579721,27.82788008
2005,11,7.082841556,27.87065603
2005,12,12.18423161,33.70662352
2006,1,8.078216973,30.78871822
2006,2,9.142587614,31.85756057
2006,3,9.755770701,31.63793964
2006,4,8.194027788,29.73055258
2006,5,8.540831602,30.36646538
2006,6,12.93367696,37.85565294
2006,7,12.70343599,38.63870934
2006,8,9.936825167,32.94976025
2006,9,8.760105881,32.56988599
2006,10,10.64549181,34.48488887
2006,11,8.958552925,31.48336758
2006,12,13.155174,37.05514386
2007,1,10.28674342,32.79017641
2007,2,14.02253124,39.25944401
2007,3,11.83680254,36.50396291
2007,4,10.07771371,33.88544888
2007,5,8.329205401,31.1501082
2007,6,16.21470107,43.01009106
2007,7,14.80261364,40.77414316
2007,8,13.51587559,39.03407717
2007,9,6.157685959,29.55650728
2007,10,7.973724234,31.34037316
2007,11,7.446888306,29.70574962
2007,12,16.20139847,41.23047025
2008,1,11.47609596,36.40160157
2008,2,13.70622631,39.31279149
2008,3,12.49126948,37.58340235
2008,4,8.201132754,32.42507556
2008,5,7.642741441,31.0449892
2008,6,13.60981808,39.25535409
2008,7,11.80754471,38.68494753
2008,8,9.614752575,35.51884588
2008,9,3.96181885,26.37876732
2008,10,3.803487687,24.8223872
2008,11,5.420469498,28.21062207
2008,12,17.30437978,44.88079756
2009,1,7.777438743,31.31863061
2009,2,5.528562371,28.71390634
2009,3,8.290207114,32.80109345
2009,4,8.729079713,35.45766093
2009,5,6.948463816,29.6410198
2009,6,11.07005944,37.17448239
2009,7,10.03742439,34.75344519
2009,8,8.665135024,32.89843336
2009,9,3.804564966,26.18033698
2009,10,8.558821017,30.85004671
2009,11,2.986131548,23.39311907
2009,12,12.57738276,36.24098123
2010,1,7.985477235,32.54660436
2010,2,9.198863624,33.11326945
2010,3,8.708465166,32.72558672
2010,4,5.041915917,26.58054829
2010,5,8.569500323,33.1677563
2010,6,11.44774116,35.88808046
2010,7,11.20082426,35.60204495
2010,8,7.761028975,30.94746199
2010,9,4.53849059,25.96675756
2010,10,6.135885523,28.57850232
2010,11,5.706094575,26.45938379
2010,12,12.69040145,36.80035824
2011,1,8.750304258,31.92515976
2011,2,9.502319447,33.63664418
2011,3,8.618149773,32.18620997
2011,4,10.52119887,35.38891827
2011,5,10.54726192,36.67021107
2011,6,11.13378282,37.23950034
2011,7,10.95731648,36.18221931
2011,8,9.248587046,34.69715956
2011,9,5.685829292,28.97782604
2011,10,4.844479728,27.07956521
2011,11,5.070360265,27.33248596
2011,12,6.060846124,29.44195188
2012,1,5.745401742,30.53837343
2012,2,4.230272461,27.34895371
2012,3,7.697416981,33.05855965
2012,4,4.69824539,27.85233056
2012,5,6.932284971,31.85433428
2012,6,9.428283499,36.09086564
2012,7,13.00105602,40.95155117
2012,8,10.33876661,36.57082078
2012,9,6.415181178,31.85585168
2012,10,7.185078251,30.96713522
2012,11,5.759812049,30.41202078
2012,12,11.10756083,37.30630087
2013,1,7.492484398,33.51311733
2013,2,7.72313819,33.13130848
2013,3,8.79486524,34.56557545
2013,4,10.49864878,38.23534518
2013,5,9.429554278,35.42765123
2013,6,15.83177637,44.17294209
2013,7,14.08945009,41.15402859
2013,8,9.520159729,33.41423186
2013,9,6.042092383,30.9035652
2013,10,5.593121589,28.10727962
2013,11,6.215856105,30.0454783
2013,12,14.87320328,39.54256407
2014,1,16.04939745,45.53911629
2014,2,12.80806724,39.25761823
2014,3,9.409202478,33.72535403
2014,4,8.361737545,33.46936627
2014,5,10.98455246,38.26540512
2014,6,14.22310913,41.25383141
2014,7,12.03573232,38.93570147
2014,8,10.235761,36.30152376
2014,9,6.882920339,32.05758336
2014,10,7.897403084,32.52175993
2014,11,7.843252556,32.80728398
2014,12,11.3680438,37.27538616
2015,1,9.759471189,36.63647087
2015,3,9.660903067,36.9949368
2015,4,7.72188489,34.50715654
2015,5,9.454143844,37.71642022
2015,6,13.98601572,43.27933209
2015,7,11.3946642,37.59289537
2015,8,9.932044593,36.92080378
2015,10,4.982661122,30.65414654
2015,11,6.944197242,34.45115342
2015,12,11.78352925,42.39858519
2016,1,7.793537069,36.83300733
2016,2,7.487445964,38.62445055
2016,3,8.341401797,37.11793979
2016,4,6.278521701,33.93812929
2016,5,7.381551943,36.07896481
2016,6,11.69958935,42.9964063
2016,8,12.56436358,46.48248883
2016,10,5.493946385,33.11038544
2016,11,5.241812319,32.74858738
2016,12,13.29111879,47.44724551
